0	0	0	0
2	1	0	0
3	1	0	1
9	0	1	0
10	0	0	2
10	1	0	2
10	0	1	2
10	0	2	0
17	0	2	2
17	5	0	0
17	5	0	2
18	0	0	0
18	0	0	1
29	8	0	0
30	8	0	1
31	9	0	0
33	10	0	0
33	10	0	2
35	1	1	0
36	1	0	0
36	1	0	1
38	0	1	0
38	0	1	1
49	0	0	2
49	8	0	2
49	9	0	2
49	1	1	2
49	1	0	2
49	7	0	0
52	0	1	2
52	0	0	0
52	0	0	1
55	7	1	0
56	7	0	1
57	0	0	2
57	7	1	2
57	9	1	0
58	7	0	2
58	9	1	2
58	9	2	0
62	9	2	2
62	9	0	0
62	9	0	1
68	6	0	0
69	9	1	0
69	9	1	1
70	9	0	1
75	6	0	2
76	6	1	0
77	9	1	2
78	9	0	2
79	6	1	2
80	6	2	0
81	6	2	2
90	4	0	0
91	4	1	0
91	4	0	2
91	4	1	2
92	3	0	0
93	3	1	0
93	3	0	2
93	3	1	2
95	12	0	0
96	2	0	0
97	12	0	2
97	2	1	0
97	2	0	2
97	2	1	2
98	12	1	0
99	12	0	0
99	12	0	1
100	12	1	2
101	12	0	2
105	11	0	0
107	8	1	0
108	8	0	0
108	8	0	1
109	11	0	2
110	11	1	0
111	8	1	2
112	8	0	2
113	11	1	2
114	11	2	0
115	11	2	2
